word,complexity_level
қотыр,A2
ләззатты,B1
лепірме,B1
лига,A2
мағынасыз,B1
мақсат-мүдде,B2
мәнмәтін,B1
медет,A2
метан,A2
мифтік,A2
мөп-мөлдір,B2
мықын,A2
наурызкөже,B2
нәсілді,B1
нөмірлену,B1
орысша-қазақша,C1
өрмек,A2
өтімділік,B1
пысу,A2
рояль,A2
санамалау,B1
сарт-сұрт,B1
сатқындық,B1
саудалау,B1
сезімталдық,B2
сейілу,A2
серпілу,B1
сингармонизм,B2
сиық,A2
сөйлену,B1
студенттік,B2
сұлау,A2
сүбелі,A2
сүлгі,A2
тайдыру,B1
таластыру,B1
таңданыс,B1
тәлкек,A2
телу,A2
тоқылдақ,B1
томаға,A2
тұмылдырықтау,C1
тұрмыс-салт,B2
тұтқиыл,B1
түлкішек,B1
ұлар,A2
ұшық,A2
фенотип,B1
филолог,B1
фонологиялық,B2
фонтан,A2
фосфат,A2
шаман,A2
шах,A1
шешей,A2
шипажай,B1
шошаю,A2
шөлмек,A2
шұбырынды,B1
ытқу,A2
ізденуші,B1
ілгек,A2
ядролық-зымырандық,C1
агрофирма,B1
айдату,A2
айнымас,B1
айтыскер,B1
ақпараттық-техникалық,C1
алхоры,A2
анықтауыш,B1
археографиялық,C1
аттыру,A2
атырап,A2
аудармашылық,B2
әйткенмен,B1
бақбақ,A2
балкон,A2
бәсекелесу,B2
бейнеролик,B2
бейім,A2
бит,A1
борсақ,A2
бөрте,A2
бұзық,A2
біртектілік,B2
бюрократиялық,C1
генотип,B1
гранттық,B1
дарқан,A2
дат,A1
денелі,A2
диктатура,B1
ду,A1
езулік,A2
екіжүзді,B1
еңселі,A2
есепті,A2
жабығу,A2
жайрату,B1
жалаңаяқ,B1
жарасым,B1
жәбірлеу,B1
жексенбілік,B2
желбірету,B1
желкілдеу,B1
жерұйық,B1
жұлқылау,B1
жұлмалау,B1
жұтым,A2
жып-жылы,B1
имидж,A2
интернет-ресурс,C1
итбалық,B1
касса,A2
кәсіпші,B1
келісімхат,B2
кенеу,A2
кер,A1
керме,A2
кеудеше,B1
киімді,A2
климаттық,B1
комплексометриялық,C1
конкурстық,B2
консумент,B1
көктеу,A2
көлбеу,A2
көпқабатты,B2
күдіктену,B1
күйме,A2
күрделілік,B2
кімде-кім,B1
қажылық,B1
қанату,A2
қандала,B1
қарқаралы,B1
қатпар,A2
қиғаш,A2
қиысу,A2
құлдау,A2
құрт-құмырсқа,C1
қыңсылау,B1
лаж,A1
лексикология,B2
литрлік,B1
маңғаз,A2
медбике,B1
мейірбан,B1
нашарлату,B1
нәубет,A2
нұсқама,B1
оқу-әдістеме,B2
оңтайлы,B1
отарлық,B1
пальма,A2
пысқыру,B1
радиолокациялық,C1
разряд,A2
ребус,A2
римдік,A2
рухани-мәдени,C1
септелу,B1
сиқыршы,B1
суреткерлік,B2
сұлы,A2
сый-сияпат,B2
сыныптық,B1
талқандалу,B2
тамақтандыру,B2
тәржімелеу,B2
текетірес,B1
теңдессіз,B1
тербету,B1
толықтырылу,B2
торкөз,A2
торығу,A2
төрткөз,B1
тұжырымды,B1
түкті,A2
тыншу,A2
тілтанушы,B1
үнтаспа,B1
фтор,A2
халықшыл,B1
шабуылдау,B1
шаңғышы,B1
шырағдан,B1
ынталану,B1
ыржию,A2
ырымдау,B1
ысырап,A2
ізделуші,B1
іздесу,A2
ілбу,A2
айттыру,B1
ақпар,A2
антропогендік,C1
арифметикалық,C1
асықтыру,B1
ауызбірлік,B2
ашығу,A2
әдепсіздік,B2
әдеттегі,B1
басар,A2
бейбақ,A2
бейберекет,B2
беталыс,B1
борышкер,B1
буырқану,B1
біз,A1
дайындаушы,B2
даулау,A2
дециметр,B1
дойбы,A2
дүрілдеу,B1
есепшот,B1
жабыстыру,B1
жайғастыру,B2
жарау,A2
жасампаздық,B2
желпіну,B1
жөнделу,B1
жұлыну,A2
жымқыру,B1
имену,A2
интеллектуалды,C1
категориялау,B2
керейіт,B1
кешіктірілу,B2
коваленттілік,C1
көмекей,B1
көмілу,A2
көркейту,B1
көсеге,A2
көшбасшылық,B2
күмбірлеу,B1
күрмеу,A2
қағандық,B1
қайтіп,A2
қалтарыс,B1
қапырық,B1
қауыз,A2
қашанғы,B1
қоңырсу,B1
құбыла,A2
құрату,A2
құры,A2
макромолекула,C1
малдас,A2
марқаю,A2
мәдениеттану,B2
мезі,A2
миллилитр,B1
миссионер,B1
мөңіреу,B1
міндетті,B1
намысты,B1
оқу-жаттығуу,B2
орыстілді,B1
өне бойы,B1
парамагниттік,C1
паровоз,B1
парталас,B1
полярлық,B1
рәсімдік,B1
рубль,A2
салалас,B1
сал-сері,B1
сатқын,A2
сәлемдеме,B1
сервер,A2
сервитут,B1
сөл,A1
стационарлық,B2
стюард,A2
суыр,A2
сүйретілу,B1
таршылық,B1
тастақ,A2
тасымалдау,B2
тәттілік,B1
тәуіп,A2
тезис,A2
тербеліс,B1
тола,A2
толықтық,B1
томар,A2
тотан,A2
трасса,A2
түп-тамыр,B1
түрленім,B1
уайымдау,B1
уақтылық,B1
уәжділік,B1
ұшып-қону,B1
үлескер,B1
үлкею,A2
үлкенді-кішілі,C1
үнпарақ,B1
шешуші,A2
шуылдау,B1
шырық,A2
ыңырану,B1
ырғу,A2
ізеттілік,B1
іңкәр,A2
электродтық,B2
япырым-ай,B1
азимут,A2
ақырзаман,B1
алап,A2
алапат,A2
армысың,B1
ар-ождан,B1
әнеки,A2
әп-әдемі,B1
бағанағы,B1
байлаулы,B1
бауырлау,B1
бәліш,A2
бопсалау,B1
бүлдірген,B1
бытырау,B1
біржылдық,B1
видео,A2
ғалымдық,B1
дабыр,A2
дағдылық,B1
дәрменсіз,B1
дештілік,B1
емексу,A2
ерсілі-қарсылы,C1
жазғытұрым,B2
жамағат,B1
жанайқай,B1
жарғанат,B1
жолаушылау,B2
жосу,A2
жуыту,A2
жүрексіну,B1
инелік,A2
квазимемлекеттік,C1
кезекшілік,B2
кезеңдік,B1
компас,A2
конструктор,B2
көсемше,B1
күкіртті,B1
күндіз-түні,B2
кіп-кішкене,B2
қазақылық,B1
қайқы,A2
қамдану,B1
қамыт,A2
қатар-қатар,B2
қоңырқай,B1
қурай,A2
құса,A2
лай,A1
либерал,B1
лингвомәдениеттану,C1
мейманхана,B2
мүліктік,B1
мүмкіндігінше,C1
мүрде,A2
мінбе,A2
наградталу,B2
неоген,A2
оңды-солды,B2
панасыз,B1
пәс,A1
пернетақта,B2
политехникалық,C1
пұшпақ,A2
пісіп-жетілу,B2
радикал,B1
сабалау,B1
салғырт,B1
санамақ,B1
себептілік,B2
сейсмика,B1
сенделу,B1
сүңгуір,B1
сыбдыр,A2
сыбыр,A2
сыйлас,A2
сыйысу,A2
сылдыр,A2
сілкіндіру,B2
табақша,B1
тажал,A2
таңсық,A2
таңылу,A2
таптыру,B1
тергелу,B1
терлеу,A2
территориялық,C1
төбешік,B1
төмпешік,B1
төстеу,A2
туысқандық,B2
тұйғын,A2
тұмау,A2
тұтам,A2
түбіртек,B1
түрткілеу,B1
түсірілім,B1
тынық,A2
уағыздау,B1
ұзатылу,B1
ұзыншақ,B1
ұстасу,A2
халайық,B1
шатынау,B1
шегінісу,B1
шошыту,A2
шүмек,A2
ынтық,A2
ыржалақтау,B2
ірі-ұсақ,B1
экскурсия,B1
ада,A1
айгөлек,B1
актерлік,B1
алша,A2
апорт,A2
атмосфералық,B2
ауыл-аймақ,B2
ауырлау,B1
ауырсыну,B1
аэроплан,B1
әртүрлілік,B2
байбалам,B1
балдыз,A2
бамбук,A2
бастамашыл,B2
басыңқы,B1
басып-жаншу,B2
баяншы,A2
болжану,B1
бром,A2
бұқтыру,B1
бұлқыну,B1
бұралқы,B1
білдіруші,B1
бітіруші,B1
вице-президент,C1
дамылсыз,B1
диагностика,B2
диалектика,B2
диуана,A2
дондық,A2
дөнен,A2
дөрекі,A2
елсіз,A2
ертеңгісін,B2
ер-тұрман,B1
жалғас,A2
жалтыр,A2
жантаю,A2
жемсау,A2
жоғарылау,B1
жұмыртқалау,B2
жүдеу,A2
жырын,A2
жігерлену,B1
зекет,A2
иммунитет,B1
ишан,A2
кезектілік,B2
кемістік,B1
кесіртке,B1
комментарий,B2
корольдік,B1
көпбалалы,B1
кристалды,B1
күзеу,A2
кісілік,B1
қазылу,A2
қазыналық,B1
қарайғы,B1
қаржыгер,B1
қиыстыру,B1
қиялдау,B1
құсмұрын,B1
қымс,A2
қымыз-шұбат,B2
лаң,A1
марстық,B1
мәйек,A2
мұздай,A2
мылжың,A2
нәрлі,A2
өлкелік,B1
пайдасыз,B1
платина,B1
поликонденсация,C1
пропан,A2
разылық,B1
рецепт,A2
сақтаулы,B1
саламатты,B1
саңқылдау,B1
саралану,B1
секта,A2
сең,A1
сканерлеу,B1
сөйленім,B1
сұп-сұр,B1
сығыраю,B1
сылдырау,B1
сыршылдық,B1
таған,A2
тартқызу,B1
тартылыс,B1
тектілік,B1
тестілеу,B1
топтастырылу,B2
тұрлау,A2
түзілім,B1
түр-түр,B1
тыстау,A2
химия-биологиялық,C1
шабдалы,B1
шовинист,B1
шоқы,A2
ып-рас,A2
ырғалу,A2
абсолютті,B1
аза,A1
айбалта,B1
айнымалы,B1
ақылгөй,B1
алай-түлей,B2
алпауыт,B1
анод,A2
арай,A2
арша,A2
арылту,A2
атқарым,B1
аумақты,B1
әдейілеп,B1
әсірелеу,B1
әурелену,B1
баяндамашы,B2
бетперде,B1
боқ,A1
буржуазиялық,B2
бұғау,A2
бұлтша,A2
бұрыштама,B1
бүге-шіге,B1
бүйен,A2
бүркемелік,B2
бір-бірлеп,B2
бірқалыпты,B2
біртуар,B1
ғұмырнама,B1
дотация,B1
дөң,A1
дөңгелеу,B1
діндік,A2
дір-дір,B1
егес,A2
егіндік,B1
ен-таңба,B1
жаздыгүні,B1
жазылым,B1
жалт-жұлт,B1
желпу,A2
желіну,A2
жемқор,A2
жер-ана,B1
жеткіліксіздік,C1
жиған-тергені,C1
жиіркену,B1
жоңышқа,B1
заңсыздық,B1
зарығу,A2
иландыру,B1
интеллект,B1
кәмелеттік,B2
кәсібилік,B1
күзен,A2
күйбең,A2
кілегей,B1
кілттеу,B1
қайбір,A2
қақалу,A2
қарайту,B1
қоқан-лоқы,B2
қора-жай,B1
қырықтық,B1
қыстыгүні,B1
лимон,A2
магистрант,B2
мәжбүрлеушілік,C1
мектепішілік,B2
меншіктік,B1
модернизация,B2
мұрсат,A2
мінеу,A2
нотариалды,B2
нөпір,A2
нығмет,A2
оқа,A1
оңалту,A2
осыншама,B1
өздігімен,B1
өлкетану,B1
перизат,B1
перифраза,B1
пластик,B1
рекреациялық,B2
рентабельдік,B2
сайгүлік,B1
сатирик,B1
саясаттану,B2
себепсіз,B1
сериал,A2
скиф,A2
сөзқолданыс,B2
суырылу,B1
сызат,A2
сыңсу,A2
табыстау,B1
таным-түсінік,C1
тарихнама,B1
тарқату,B1
тауарлық,B1
текстологиялық,C1
теңдей,A2
типографиялық,C1
тонаушы,B1
тропикалық,B2
түген,A2
түту,A2
тыңдалу,B1
уәжді,A2
уық,A1
үлгіру,A2
үсік,A2
филармония,B2
фунт,A2
хатым,A2
шор,A1
шынтуайт,B1
ыржақтау,B1
ілгерілеу,B1
ілгізу,A2
іле,A1
ілмектелу,B1
істік,A2
абдыра,A2
авторитарлы,B2
агробизнес,B2
адыр,A2
аждаһа,A2
алабөтен,B1
артемия,B1
арық,A2
атқызу,A2
ауа райы,B1
ауру-сырқау,B2
әрлеу,A2
балдайын,B1
барон,A2
басқалай,B1
баспалау,B1
батырма,B1
бейнелілік,B2
бүлікші,B1
бүрісу,A2
вектор,A2
гигиеналық,B2
даралау,B1
дауа,A2
дәнігу,A2
дельфин,B1
демігу,A2
диамагнитті,B2
доминант,B1
дүмше,A2
ернеу,A2
жабын,A2
жақындастыру,B2
жап-жақсы,B1
жұлын,A2
жұмылдырылу,B2
жылдамдату,B2
заулау,A2
зырлау,A2
икемделу,B1
испандық,B1
итальян,B1
карантин,B1
кере,A2
консалтингілік,C1
конструкция,B2
кооперативтендіру,C1
көркемсөз,B1
күлдіргі,B1
күрделендіру,B2
қағыс,A2
қажау,A2
қай-қайсысы,B2
қалқию,A2
қаңқылдау,B1
қарағайлы,B1
қарқ,A2
қоңсы,A2
қосшы,A2
құлама,A2
құлпынай,B1
құнығу,A2
құтырту,B1
құшақ-құшақ,B2
қыз-жігіт,B1
қына,A2
қысы-жазы,B1
лапылдау,B1
макроэкономикалық,C1
максималды,B2
микроб,A2
мифология,B1
моноқала,B1
мүфти,A2
мыжғылау,B1
насыбай,B1
натюрморт,B1
озбырлық,B1
ойпырым-ай,B2
оқытылу,B1
оңтүстік-батыс,C1
өктемдік,B1
өлексе,A2
өрелі,A2
өткірлік,B1
пандус,A2
папкі,A2
парақтау,B1
революцияшыл,B2
самай,A2
самаурын,B1
синонимдік,B2
сипалау,B1
сомдалу,B1
сұқтану,B1
сұмырай,B1
сылаң,A2
сырқаттану,B2
сіздей,A2
табыстыру,B1
талданым,B1
тамам,A2
тебіну,A2
теннис,A2
транслитерация,C1
түбіт,A2
түпкіліктілік,C1
тыныстау,B1
уағдаласу,B1
үйлестірілу,B2
фотоқұжат,B1
фрейм,A2
ханзада,B1
шалғы,A2
шапшу,A2
шәйнек,A2
ширығу,A2
ызылдау,B1
ынта-жігер,B2
ынта-ықылас,B2
ыңғай,A2
ыңылдау,B1
ысу,A1
іліндіру,B1
індет-дерт,B2
ірку,A2
іс-құжат,B1
экзотика,B1
аға-апа,B1
алшын,A2
анау-мынау,B2
антибиотик,B2
арамза,A2
ассоциативті,B2
аттөбеліндей,B2
атыз,A2
аулану,A2
әділқазы,B1
байыпты,B1
батыстық,B1
билеп-төстеу,B2
боғауыз,B1
бұғат,A2
бүкір,A2
бірсарынды,B2
біртекті,B1
біріншілік,B2
галактика,B1
гәкку,A2
гипс,A2
гүлзар,A2
гүрс,A2
дарбаза,B1
дәрілеу,B1
денотат-модус,C1
дзюдо,A2
дүрліктіру,B2
ділда,A2
ер-тоқым,B1
есеп-қисап,B2
жазғызу,B1
жерік,A2
жуықта,A2
жылыжай,B1
жібектей,B1
зарядталу,B1
золь,A2
инстанция,B1
кешкісін,B1
колибри,B1
көкпеңбек,B1
көкше,A2
крахмал,B1
күреу,A2
қабілетті,B1
қайырылу,B1
қаншық,A2
қаныпезер,B1
қараторғай,B2
қатыстық,B1
қашаған,B1
қит,A1
қоғамдық-әлеуметтік,C1
қозы-лақ,B1
қолпаштау,B1
құлпытас,B1
лак,A1
мавзолей,B1
мана,A2
мойындалу,B1
момақан,B1
мұқияттау,B1
мініс,A2
нәзіктік,B1
оңтайландыру,B2
опа,A1
оптикалық,B1
пар,A1
пешкі,A2
плантация,B1
пікірсайыс,B2
реципиент,B1
ризалық,B1
сабаз,A2
салғыш,A2
самсау,A2
саудалану,B1
саяхаттау,B1
соттасу,B1
суат,A2
сыналау,B1
табиғи-климаттық,C1
таңдай,A2
таңдамалы,B1
тегістеу,B1
тот,A1
төлену,A2
туысу,A2
тұғырлы,B1
тұтастыру,B1
түйіну,A2
түйіндеу,B1
тыйылу,A2
тыныштандыру,B2
тіреу,A2
уәждеме,B1
үгіту,A2
үйеңкі,A2
үстемеақы,B1
фрагмент,B1
франчайзинг,B2
хат-хабар,B1
цент,A2
шалаш,A2
шалыс,A2
шегу,A2
шифр,A2
ымыраластық,B2
ілгерілі-кейінді,C1
іліктіру,B1
электролиздеу,C1
эстафета,B1
аға-бауыр,B1
азғыру,A2
айтқыш,A2
ақсию,A2
алжапқыш,B1
алжу,A2
амбиция,B1
арбакеш,B1
атақ-лауазым,B2
атастыру,B1
атаулық,B1
ауық-ауық,B1
әзірет,A2
әйнекше,B1
әлеуметтік-тұрмыстық,C1
бағдарламалық-нысаналы,C1
баз,A1
балаша,A2
баса-көктеу,B2
бастырма,B1
бейнежазба,B2
беташар,B1
бетпақ,A2
биогеоценоз,B2
бойда,A2
болмыс-бітім,B2
борпылдақ,B1
будан,A2
бұлшықетті,B2
бұрғы,A2
виртуалды,B1
гендер,A2
гүлдей,A2
гүрілдеу,B1
ғибраттану,B2
дауал,A2
дәріхана,B1
дос-жаран,B1
елесу,A2
ескіше,A2
жайшылықта,B2
жамау,A2
жапа-тармағай,C1
жап-жарық,B1
жасаурау,B1
жауыр,A2
жекелік,B1
жиіркенішті,B2
жоғары-төмен,B2
жолақша,B1
жыланкөз,B1
звондау,B1
зембіл,A2
индустриалды-инновациялық,C1
кактус,A2
кәусар,A2
кемде-кем,B1
кеспе,A2
комбинация,B2
комплекстік,B2
контрагент,B2
концентрациялық,C1
коньяк,A2
көген,A2
көмбе,A2
көрегендік,B2
көшкін,A2
күтімді,B1
қағыстыру,B1
қаңырау,B1
қарш-құрш,B1
қаулау,A2
құйма,A2
құрбы-құрдас,B2
қыстық,A2
лайым,A2
малта,A2
мекиен,A2
мембрана,B1
мемуар,A2
миллионер,B1
мияулау,B1
модернизациялауу,C1
мүйізтұмсық,B2
нәпақа,A2
нокаут,A2
нығарлау,B1
ойпыр-ай,B1
ойша,A2
орнықтыру,B1
ортан,A2
орфографиялық,C1
өнертапқыш,B2
өңгеру,A2
өрнекті,B1
өсекші,A2
патшайым,B1
пианино,B1
прапорщик,B1
ратификаттауу,C1
реалды,A2
рейс,A2
реттегіш,B1
сайман,A2
салааралық,B2
салақ,A2
саңқ,A2
сарапшылық,B2
сән-салтанат,B2
сканер,A2
сөзұйқас,B1
суперфосфат,B2
суырыпсалма,B2
сұрастыру,B1
сүйел,A2
сын-қатер,B1
табу,A2
тақалу,A2
таратылым,B1
тәлімдеме,B1
тележурналист,C1
тотықұс,B1
түркітану,B1
тіміскілеу,B2
уһ,A1
уыт,A1
ұрғашы,A2
фельдшерлік-акушерлік,C1
хронология,B2
шақпақ,A2
ширату,A2
шуыл,A2
шытырман,B1
шіркін-ай,B1
ықпал-әсер,B2
ырғақтық,B1
ыржалаңдау,B2
абайсызда,B1
автовокзал,B2
айыпкер,B1
алақтау,B1
алапес,A2
алдану,A2
асты-үсті (асты-үст),C1
атақоныс,B1
ауызбіршілік,B2
әлеуметтік-психологиялық,C1
әлжуаз,A2
әмеңгерлік,B2
әрірек,A2
бақилық,B1
бақталас,B1
батальон,B1
бейметалл,B1
бизнес-жоба,B2
биотехнология,C1
болғызу,B1
бөктеру,B1
бөліс,A2
бұлтты,A2
бүгінгідей,B2
бүкілхалықтық,C1
бүлде,A2
бүліншілік,B2
гарнизон,B1
гидросфера,B2
девальвация,B2
дивиденд,B1
дидактикалық-өнегелік,C1
диффузия,B1
дүниетану,B1
діттеу,A2
екінті,A2
ентелеу,B1
ерімтал,B1
жайлану,B1
жақтас,A2
жалп,A2
жаужүрек,B1
жаһаннам,B1
желкелеу,B1
жөнді,A2
жыру,A2
императив,B1
какао,A2
кәлам,A2
кәнден,A2
кемтар,A2
көлбеу,A2
көреген,B1
күмп,A2
кілт,A2
қабылдаушы,B2
қабілетсіздік,C1
қалжыңдау,B1
қараң,A2
қиынды,A2
қолшатыр,B1
қосу,A2
құрылымдау,B2
қыңқылдау,B1
малшаруашылық,C1
матау,A2
межелі,A2
микроорганизм,C1
мүшәйра,B1
ноян,A2
нұрлану,B1
ода,A1
одақтасу,B1
ойрат,A2
оқып-үйрену,B2
орнатылу,B1
өжеттік,B1
өзімен-өзі,B2
өзіне-өзі,B1
өтем,A2
пәнаралық,B1
премьер,B1
реагент,B1
рельс,A2
ретсіз,A2
ринг,A2
роман-эпопея,B2
салауаттылық,B2
санитар,B1
сарт,A2
сендік,A2
сенімгерлік,B2
сеңгір,A2
сергелдең,B1
смартфон,B1
сөндіруші,B1
сусар,A2
сүңгіту,B1
сыйдыру,B1
сілкілеу,B1
тағыну,A2
таңқурай,B1
тәйірі,A2
тегеурінді,B2
термос,A2
техникум,B1
турашыл,B1
тұрақсыздық,B2
тұрғызылу,B1
түйілу,A2
тыпырлау,B1
ұқып,A2
ұлтарақ,B1
ұлу,A1
ұсқынсыз,B1
үкілі,A2
үшкір,A2
халиф,A2
чех,A1
шағыл,A2
шақпақ,A2
шарасыз,B1
шешіну,A2
шкала,A2
шынар,A2
шынтақтау,B1
ынтығу,A2
ырылдау,B1
ірілендіру,B2
электрлік,B1
эмиссия,B1
адрестік,B1
ажарлы,A2
ақшыл,A2
аласұру,B1
алауыздық,B1
алдамшы,B1
анық-қанығы,B2
арандатушылық,C1
арғы-бергі,B2
арман-тілек,B2
артиллерия,B2
архитектор,B2
аспаптық,B1
аспирант,B1
аутсорсинг,B2
әркелкі,B1
бейтараптану,B2
берекесіз,B1
бизнес-мектеп,C1
бизнес-ханым,B2
борбай,A2
бұғыну,A2
бүркемелеу,B2
бүрку,A2
бүркітші,B1
бықсу,A2
бытыраңқылық,B2
генерал-губернаторлық,C1
гибридтену,B2
даттау,A2
дауалау,B1
дау-жанжал,B2
дауылпаз,B1
дәнекерлену,B2
декорация,B1
делдалдық,B1
докторантура,B2
дөңгелену,B1
екіұшты,B1
елубасы,B1
еншілеу,B1
еркектік,B1
жазира,A2
жалбыз,A2
жарым-жартылай,C1
жатық,A2
жоғарылық,B1
жолсерік,B1
жолықтыру,B1
жұбаныш,B1
жұғысу,A2
жұп-жұмсақ,B2
жыбырлату,B1
зіркілдеу,B1
изолятор,B1
кемер,A2
кескілесу,B1
кимелеу,B1
киілу,A2
комбинаторика,C1
көлшік,A2
көпе-көрнеу,B2
көріпкел,B1
кубик,A2
күбі,A2
күшейтілу,B1
кіршіксіз,B1
қазалы,A2
қайдам,A2
қайқаю,A2
қайтымсыз,B1
қалжа,A2
қанағаттандырылу,C1
қаңылтыр,B1
қарбаласу,B1
қасапшы,B1
қатарлау,B1
қойдай,A2
қолды-аяққа тұрмау,C1
қолшоқпар,B1
қорытпа,B1
қудалану,B1
құжаттық,B1
құқықбұзушылық,C1
қыңқ,A2
қышқылдау,B1
ләзім,A2
лингвомәдени,B2
маздау,A2
мақсат-міндет,C1
марал,A2
масайрау,B1
маужырау,B1
мертігу,B1
меруерт,B1
модератор,B1
мүбарак,B1
нұқу,A2
ойрандау,B1
ойсырау,B1
онтогенез,B1
өлім-жітім,B2
өндіргіш,B1
өштесу,A2
поликонденсациялану,C1
пресуппозиция,C1
прогрессивті,B2
рейтингілік,B2
риторикалық,B2
рушылдық,B1
сабырлылық,B2
саламат,B1
сапырылу,B1
сарқыт,A2
сәйкесу,B1
сәл-пәл,B1
сәулетші,B1
сергектік,B1
силикат,B1
символдық,B1
солғын,A2
сұсты,A2
сүйір,A2
сүр,A1
сызбанұсқа,B2
табынушылық,B2
таразылау,B1
телпек,A2
теңдеу,A2
тур,A1
тұма,A2
түпсіз,A2
түсінілу,B1
тық-тық,B1
тігіс,A2
уағдаластық,B2
уылдырық,B1
үдіреу,A2
үп-үлкен,B1
флора,A2
ханша,A2
цитоплазма,B2
шәпке,A2
шелпек,A2
шеткері,B1
шолғыншы,B1
шрифт,A2
шуласу,A2
шұбырту,B1
шығыстанушы,B2
шыр,A1
шырқату,B1
ыңыл,A2
ырғайту,B1
ысылу,A2
ілгері,A2
інді,A2
эстетика,B1
автожол,B1
ағайын-туған,B2
ағайын-туыс,B2
айнадай,B1
аккредитация,B2
алалық,A2
аңыру,A2
араз,A2
аруана,A2
ацетат,A2
әрқалай,B1
әскербасы,B1
бақтыру,B1
балауса,B1
безіну,A2
бүрсігүні,B1
вертикаль,B1
гипотеза,B1
гомоген,B1
гомогенді,B1
дабырлау,B1
дағар,A2
дара,A2
даярлану,B1
дедектеу,B1
декан,A2
дистильдену,B2
домалақтау,B2
достым,A2
дүре,A2
дүрлігу,B1
егеуқұйрық,B2
еміну,A2
ерек,A2
ереуілдеу,B1
ертелі-кеш,B2
жабулы,A2
жадырату,B1
жазым,A2
жақсыз,A2
жанқалта,B1
жапсырылу,B1
жастау,A2
желмая,A2
жеті-сегіз,B2
жоғарырақ,B1
жолсыз,A2
жұмсару,B1
жүрекжарды,B2
жымысқы,B1
зып,A1
зілдей,A2
идеолог,B1
икемдеу,B1
катиондық,B1
кәдуілгі,B1
кәнігі,A2
кездеме,B1
кезең-кезең,B2
кей-кейде,B1
керең,A2
кермек,A2
кес-кестеу,B2
кешқұрым,B1
колонна,B1
коррозия,B1
көгендеу,B1
қазақтілді,B2
қайрақ,A2
қақсау,A2
қамсыздандыру,C1
қаусау,A2
қаусыру,B1
қызылордалық,B2
қырағылық,B1
қырғыз-қайсақ,C1
қысқалық,B1
ләм,A1
лейборист,B1
майдангер,B1
мәндес,A2
мектеп-гимназия,C1
механика,B1
мина,A2
момент,A2
мөртабан,B1
нәжіс,A2
озон,A2
оқта-текте,B2
отшашу,A2
өзен-көл,B1
өкімдік,B1
өте-мөте,B1
өткізгіштік,B2
перу,A2
перспективалық,C1
полюссіз,B1
пысықтауыш,B2
радиациялық,B2
радиоактивтік,C1
референт,B1
ритмикалық,B2
рулас,A2
сақ,A1
салбырату,B1
сарнау,A2
сауғалау,B1
сенбілік,B1
сонар,A2
сораю,A2
станица,B1
сұйылу,A2
сұрыпталу,B1
сынасу,A2
сыншылдық,B1
сырғи,A2
сілею,A2
табанда,B1
тактикалық,B2
талды,A2
тандыру,B1
тарану,A2
тарпа,A2
тарпу,A2
тарығу,A2
тексіз,A2
титімдей,B1
тиісінше,B1
тотықтыру,B1
трамвай,B1
тұтқыр,A2
түге,A2
түйреу,A2
түркология,B2
тыну,A2
тілдесім,B1
уәждеу,A2
учаскелік,B1
ұзартылу,B1
ұйықтату,B1
ұлан-байтақ,B2
ұлпа,A2
ұнтақтау,B1
ұрындыру,B1
үзілді-кесілді,C1
үйіп-төгу,B1
үштік,A2
фондық,A2
шарасыздық,B2
шекер,A2
шумақтау,B1
шұбату,A2
шүкіршілік,B2
шығыстану,B1
шырыл,A2
шытынау,B1
ыза-намыс,B1
ызғарлау,B1
ықыластану,B2
ымыралау,B1
ысырапқорлық,B2
ізделу,A2
ірітуші,B1
эврифотты,B1
электірлік,B2
этикет,A2
абайша,A2
абстракция,B2
абысын,A2
азғантай,B1
азғындау,B1
алхимик,B1
антропоген,B2
апталу,A2
араб-парсы,B2
асыраушы,B1
атеке,A2
ашықхат,B1
аяқтану,B1
әңгіме-дүкен,B2
байғыз,A2
банкир,A2
банкнот,B1
баспагер,B1
басыбайлы,B1
безгек,A2
белдемше,B1
бет-жүз,B1
бизнес-ой,B1
бойжету,B1
бойтұмар,B1
бұғана,A2
бұлтарту,B1
білім-ғылым,B2
взвод,A2
геосаяси,B1
ғылыми-практикалық,C1
дандайсу,B1
дәуірлеу,B1
десант,A2
дискриминация,C1
дөңгелету,B1
дүрбі,A2
дінбасы,B1
дірілдеп-дірдектеу,C1
еліктіру,B1
ескі-құсқы,B2
есіл-дерті,B2
жадыгөй,B1
жан-тән,B1
жаңалау,B1
жеку,A2
жорамалдау,B2
жусау,A2
жыртыс,A2
ибалы,A2
индексішілік,B2
инкубатор,B1
интернационализм,C1
иіскелеу,B1
кеміруші,B1
кенді,A2
кептелу,B1
кептірілу,B1
кеспек,A2
конъюнктура,B2
көр,A1
көргенді,B1
күлше,A2
күшену,A2
қабілетсіз,B2
қайталату,B1
қақшию,A2
қанаттану,B1
қаптама,B1
қаратылу,B1
қаржылай,B1
қарлығу,B1
қарс,A2
қатқыл,A2
қатыстылық,B2
қолқалау,B1
құлди,A2
құнарлылық,B2
қызғаншақ,B1
қырындау,B1
лайықтылық,B2
латындандыру,B2
лингвист,B1
мазасыздану,B2
малу,A2
малақай,B1
манифест,B1
менсіз,A2
мигрант,B1
мия,A1
моллюска,B1
мораторий,B1
мұқату,A2
мығым,A2
мінажат,B1
нысаналау,B1
ой-толғам,B1
опыру,A2
орманшы,B1
орхон,A2
өлермен,B1
