,word,f1,f2,f3,f4,f5,f6,f7,number_of_letters,chatgpt_score_encoded,fasttext_A_sim,fasttext_B_sim,fasttext_C_sim,score_encoded
307,салат,102,0,29,8,18,10,0,5,2,0.30109918,0.33520418,0.2407478,1
308,жауыздық,43,0,5,5,1,78,0,8,3,0.37369764,0.46426535,0.43446374,3
309,серия,13,38,0,22,30,30,0,5,2,0.17352794,0.18333974,0.13291031,2
310,мал-мүлік,44,0,46,5,0,30,0,9,3,0.39433447,0.41792548,0.36162558,2
311,бейтарап,95,3,0,3,0,35,0,8,3,0.30520973,0.37861156,0.34050283,2
312,синоним,65,3,0,1,0,89,0,7,2,0.30592462,0.35430473,0.31900275,3
313,тәжірибелі,31,9,2,16,0,96,1,10,3,0.39691082,0.40026027,0.34917888,2
314,қоғамдастық,11,43,0,10,0,84,0,11,4,0.35125208,0.36862195,0.32760736,2
315,идеялық,37,2,0,14,0,96,0,7,2,0.2761938,0.3731826,0.38774356,3
316,қайта-қайта,36,1,32,1,0,104,2,11,4,0.2938377,0.3015684,0.3047191,1
317,тақау,6,0,3,6,3,4,0,5,2,0.24553873,0.24878438,0.25216022,3
318,тақау,6,0,3,6,3,4,0,5,2,0.24553873,0.24878438,0.25216022,3
319,жеңіліс,102,0,2,4,0,53,1,7,2,0.2923722,0.30489868,0.2709382,1
320,лирикалық,158,0,0,9,2,0,0,9,3,0.33550897,0.40856022,0.41350856,4
321,жұқа,100,2,13,6,5,27,1,4,0,0.33884504,0.36113194,0.3707226,1
322,күйші,96,0,0,45,1,0,3,5,2,0.31018007,0.32606772,0.30291462,2
323,сыныптас,132,1,0,9,3,31,10,8,3,0.26210308,0.23936908,0.20488046,1
324,жыршы,73,0,0,11,3,57,0,5,2,0.267805,0.30049682,0.29047433,2
325,ешқайда,22,0,26,13,34,34,2,7,2,0.3105408,0.32199886,0.32386032,1
326,дәулет,64,1,44,9,4,24,5,6,2,0.36386126,0.4209288,0.36020398,3
327,нәр,39,0,21,22,8,74,0,3,0,0.33110815,0.39179102,0.34488007,2
328,жеміс-жидек,66,4,10,4,21,32,1,11,4,0.36214033,0.37995976,0.3074437,1
329,моншақ,87,0,11,15,3,19,3,6,2,0.340824,0.34429953,0.2571836,2
330,жынды,3,0,17,9,51,90,0,5,2,0.40642703,0.43460938,0.43488172,1
331,жауын-шашын,149,0,3,4,0,13,0,11,4,0.29606664,0.33269998,0.29405698,2
332,қуанышты,60,0,41,3,0,30,0,8,3,0.39169416,0.42443278,0.36694396,1
333,оймақ,11,0,3,0,1,4,0,5,2,0.41032025,0.42140627,0.44323087,4
334,олқылық,0,3,1,15,0,0,0,7,2,0.3726572,0.4511879,0.46019506,4
335,параллелизм,12,0,0,0,0,7,0,11,4,0.33368188,0.39398813,0.44276926,4
336,резюме,0,0,0,0,0,19,0,6,2,0.14198026,0.14062813,0.13847387,4
337,рецензия,3,1,0,4,0,11,0,8,3,0.25724158,0.30435058,0.27631173,4
338,рулы,4,0,1,3,0,11,0,4,0,0.35054794,0.3356695,0.3873,4
339,соматикалық,3,0,0,0,0,16,0,11,4,0.31001052,0.35824963,0.3584951,4
340,сұраным,5,0,0,2,0,12,3,7,2,0.29163548,0.3450092,0.3097018,3
341,төлнұсқа,0,18,0,0,0,1,0,8,3,0.25795674,0.31090468,0.22310126,3
342,тіфә,4,0,0,9,6,0,0,4,0,0.1867127,0.24805433,0.25387967,4
343,трагикомедия,0,0,0,1,0,2,0,12,4,0.21000536,0.27660865,0.28118217,4
344,терапевт,3,0,0,0,0,0,1,8,3,0.17242086,0.19621974,0.15037441,3
345,танго,1,0,0,2,0,0,0,5,2,0.20070815,0.23607332,0.26462194,4
346,шүлдір,0,0,0,3,0,1,0,6,2,0.5146354,0.57481784,0.5806443,4
347,цивилизация,1,0,1,0,1,1,0,11,4,0.23915546,0.32291833,0.3097293,3
348,феодал,0,0,1,0,2,1,0,6,2,0.17846844,0.243116,0.26938698,4
349,сырбаз,1,0,1,2,0,0,0,6,2,0.38216245,0.4229301,0.44059643,4
350,сұқсыр,4,0,0,0,0,0,0,6,2,0.30878824,0.34761488,0.36860737,4
351,спектрограмма,0,0,0,0,0,4,0,13,4,0.34066918,0.39162973,0.3804148,4
352,секулярист,0,0,0,4,0,0,0,10,3,0.44138977,0.5115489,0.48328808,4
353,тер,132,2,61,42,18,174,1,3,0,0.3585684,0.35935023,0.33321127,1
354,мүйіз,70,1,42,38,14,66,2,5,2,0.35477334,0.32880425,0.36931258,2
355,тұяқ,22,3,25,43,44,126,0,4,0,0.34441358,0.3378033,0.37305868,1
356,қыстау,99,7,23,34,0,554,12,6,2,0.29705545,0.3285639,0.32189915,1
357,қыстау,99,7,23,34,0,554,0,6,2,0.29705545,0.3285639,0.32189915,1
358,күздеу,7,0,0,0,1,0,2,6,2,0.4626613,0.47542897,0.45724428,2
359,көрікті,102,1,23,10,13,43,0,7,2,0.3876131,0.41751334,0.40190822,2
360,әдемі,598,1,122,115,82,385,61,5,2,0.46889353,0.49754766,0.47403103,1
361,сұлу,391,0,120,80,92,353,3,4,0,0.4513344,0.46420923,0.45112786,1
362,қарапайым,628,16,31,131,22,605,8,9,3,0.5041346,0.5064739,0.4606118,0
363,шындық,401,14,148,126,113,714,4,6,2,0.337992,0.39567414,0.394311,0
364,шын,376,14,141,146,235,743,11,3,0,0.34438682,0.36822122,0.34188175,0
365,ақиқат,93,0,7,79,4,400,0,6,2,0.30995947,0.3579203,0.33886236,1
366,қарт,182,12,128,80,45,301,2,4,0,0.37976766,0.35165474,0.2981917,2
367,қария,86,2,82,34,14,147,7,5,2,0.39553258,0.38380453,0.33686593,2
368,әже,1356,0,392,362,467,514,53,3,0,0.30744722,0.25076857,0.1877684,0
369,құрмет,350,46,27,119,31,687,18,6,2,0.3538948,0.42635107,0.34720722,2
370,қадір,219,1,29,51,17,3,1,5,2,0.3029428,0.3534382,0.3217627,2
371,сый,188,11,109,98,57,269,1,3,0,0.34248623,0.3922855,0.28800565,1
372,себеп,1102,217,34,139,49,2867,109,5,2,0.34027132,0.35921684,0.32624742,1
373,айтыс,159,4,43,137,31,189,5,5,2,0.35158473,0.35904703,0.373125,1
374,дау,181,140,19,79,5,188,0,3,0,0.29438442,0.3178448,0.34052098,1
375,талас,240,3,66,51,31,277,0,5,2,0.31727603,0.33974245,0.32434165,2
376,ұрыс,155,14,65,55,13,140,1,4,0,0.2732491,0.2960774,0.2757437,2
377,баспана,91,17,7,38,25,101,0,7,2,0.3011401,0.3395974,0.24984592,2
378,ғасыр,2736,40,18,405,4,1716,31,5,2,0.38301268,0.33789065,0.32680032,0
379,азық,114,0,47,36,6,134,3,4,0,0.37937376,0.4036977,0.32105878,0
380,азық-түлік,243,69,14,42,6,239,9,10,3,0.42412716,0.42722422,0.36325988,0
381,мал,1025,60,130,118,52,848,20,3,0,0.50794226,0.4993292,0.45532984,1
382,шаруашылық,1237,501,10,116,11,1205,8,10,3,0.40927315,0.48058963,0.42856807,2
383,тұрақ,1637,480,38,24,11,56,6,5,2,0.3288125,0.35699147,0.28642958,0
384,шақ,265,25,106,130,22,765,2,3,0,0.36028996,0.43386585,0.3378715,2
385,шақ,265,25,106,130,22,765,0,3,0,0.36028996,0.43386585,0.3378715,2
386,шақ,265,25,106,130,22,765,0,3,0,0.36028996,0.43386585,0.3378715,2
387,шақ,265,25,106,130,22,765,0,3,0,0.36028996,0.43386585,0.3378715,2
388,мерзім,244,938,7,89,44,805,1,6,2,0.3833315,0.35037524,0.27771387,0
389,мекен,315,193,33,87,12,387,7,5,2,0.32641917,0.3568907,0.2898885,2
390,қоныс,518,32,3,73,10,265,0,5,2,0.36968115,0.43789566,0.41195422,0
391,арба,112,1,72,51,39,250,5,4,0,0.31525674,0.3079726,0.27074096,2
392,ханшайым,26,0,4,5,7,12,3,8,3,0.28744563,0.278358,0.18050325,2
393,ханзада,19,0,0,1,3,11,5,7,2,0.23284262,0.23271602,0.16203581,2
394,керуен,125,1,19,21,2,96,8,6,2,0.32200983,0.3619441,0.30322963,2
395,сауда,684,166,32,139,40,781,7,5,2,0.3846633,0.41495743,0.35189065,0
396,саудагер,104,0,28,13,22,90,8,8,3,0.25632128,0.25533903,0.18546347,0
397,арық,63,1,45,45,10,67,1,4,0,0.36574575,0.33126286,0.29818356,0
398,арық,63,1,45,45,10,67,0,4,0,0.36574575,0.33126286,0.29818356,0
399,жыра,1,0,1,0,0,0,0,4,0,0.27492264,0.32510185,0.40598524,4
400,ор,58,0,11,5,11,97,0,2,0,0.11103521,0.01874446,-0.034833796,3
401,таяз,12,2,1,4,1,26,1,4,0,0.2678253,0.29705727,0.31228465,2
402,маңызсыз,2,0,1,1,0,0,0,8,3,0.45226103,0.4948445,0.42427164,2
403,үстірт,152,1,1,16,0,36,0,6,2,0.24055016,0.2937561,0.44734058,4
404,үстірт,152,1,1,16,0,36,0,6,2,0.24055016,0.2937561,0.44734058,4
405,қамыс,95,2,45,14,4,104,6,5,2,0.34064156,0.37225083,0.35431185,2
406,көл,950,59,188,110,42,156,45,3,0,0.38068268,0.37696674,0.346522,0
407,жағалау,413,22,45,24,17,73,7,7,2,0.2771829,0.2785736,0.26726744,0
408,жағалау,413,22,45,24,17,73,0,7,2,0.2771829,0.2785736,0.26726744,0
409,жаға,136,13,275,21,62,264,16,4,0,0.25251085,0.29039934,0.32593283,0
410,шағала,46,3,18,3,38,4,2,6,2,0.29903287,0.30652946,0.3125192,1
411,сен,4492,53,3557,928,4038,4283,89,3,0,0.41801238,0.39692745,0.33624956,0
412,сіз,1072,161,729,577,711,2869,19,3,0,0.3831782,0.3470964,0.28777334,0
413,көркем,632,7,32,137,3,1324,2,6,2,0.48606154,0.53264844,0.52848685,2
414,шыншыл,43,0,2,6,0,30,1,6,2,0.31207728,0.35421875,0.31805834,3
415,бедел,221,55,6,91,3,350,0,5,2,0.34840897,0.44116542,0.3988732,1
416,абырой,95,21,13,81,9,248,1,6,2,0.3467462,0.39656124,0.33840382,1
417,теріс,22,79,102,58,37,382,0,5,2,0.32562405,0.37796792,0.37791422,2
418,ауырлық,32,21,2,1,2,24,0,7,2,0.36068797,0.37656173,0.3468437,3
419,жасқаншақ,1,0,1,3,0,12,0,9,3,0.46280703,0.4637639,0.45987257,3
420,міндет,673,760,32,229,106,1736,20,6,2,0.36234584,0.4080214,0.34483707,2
421,парыз,124,2,3,60,0,171,1,5,2,0.32847598,0.36303565,0.31393582,2
422,ойымша,32,0,17,20,0,0,0,6,2,0.29021293,0.29458806,0.269446,0
423,пікір,653,61,48,334,54,2064,4,5,2,0.3161919,0.3703608,0.36797458,1
424,көзқарас,394,58,16,176,11,932,3,8,3,0.34672225,0.4063854,0.38461077,1
425,теке,815,0,13,11,0,64,0,4,0,0.29806948,0.27735314,0.3182819,0
426,айлакер,40,0,7,6,10,11,1,7,2,0.3722096,0.38354138,0.34046215,2
427,қанағат,47,0,22,12,7,64,1,7,2,0.28153056,0.31082565,0.2544631,3
428,қанағатсыз,3,0,1,0,0,9,0,10,3,0.422333,0.46177015,0.4606773,3
429,ау,59,2,67,52,40,94,1,2,0,0.10621155,0.0014217055,-0.024329009,1
430,ау,59,2,67,52,40,94,0,2,0,0.10621155,0.0014217055,-0.024329009,1
431,ау,59,2,67,52,40,94,0,2,0,0.10621155,0.0014217055,-0.024329009,1
432,деңгей,1290,845,10,329,8,8736,24,6,2,0.26808345,0.2609892,0.21937078,1
433,қимыл,69,18,16,30,20,70,1,5,2,0.3357359,0.37704024,0.35950562,1
434,қайын,28,0,15,9,8,161,0,5,2,0.29062542,0.32422036,0.28745827,2
435,мәлімет,689,665,2,132,28,750,8,7,2,0.3649024,0.3814487,0.29468372,3
436,ешкі,305,2,71,27,24,72,6,4,0,0.36565617,0.30076438,0.30835462,0
437,байқау,64,45,3,70,18,158,18,6,2,0.26338932,0.28078458,0.26353705,1
438,байқау,64,45,3,70,18,158,0,6,2,0.26338932,0.28078458,0.26353705,1
439,жайылым,192,10,8,50,2,45,3,7,2,0.31003508,0.3540599,0.3410329,2
440,тұздық,4,0,3,1,1,6,0,6,2,0.35707116,0.42204267,0.3699134,3
441,тапсырыс,78,54,1,20,15,314,4,8,3,0.3481554,0.36104122,0.26711124,1
442,аңшылық,25,7,0,2,0,30,1,7,2,0.32845232,0.3533117,0.3214226,4
443,құрлық,171,13,10,53,1,77,0,6,2,0.35904488,0.35050496,0.3439034,1
444,ат,924,414,1551,839,565,5273,61,2,0,0.16339189,0.05022635,-0.012092708,1
445,шошқа,31,1,83,18,32,104,0,5,2,0.2796184,0.2551637,0.26268432,1
446,қоян,305,0,308,106,124,80,2,4,0,0.3548845,0.28782877,0.26308304,0
447,қақпан,20,0,41,19,15,0,1,6,2,0.40375578,0.39214575,0.35374314,2
448,тосқауыл,40,1,5,23,6,110,0,8,3,0.28435895,0.36708558,0.34430125,2
449,жабайы,172,3,28,21,11,71,2,6,2,0.37969652,0.40144163,0.38833308,0
450,шамалы,56,4,26,39,12,90,0,6,2,0.34690806,0.3640765,0.34196353,3
451,шамалы,56,4,26,39,12,90,0,6,2,0.34690806,0.3640765,0.34196353,3
452,шағын,963,153,108,128,36,2043,5,5,2,0.4592512,0.48803496,0.44769612,0
453,дария,44,0,69,14,2,50,5,5,2,0.35881552,0.3542926,0.3568504,2
454,біз,3488,61,1987,3165,1127,11477,207,3,0,0.46515536,0.41109344,0.39725167,0
455,біз,3488,61,1987,3165,1127,11477,0,3,0,0.46515536,0.41109344,0.39725167,0
456,шаруа,822,4,233,122,64,684,4,5,2,0.4115438,0.41254672,0.37852362,0
457,сірә,43,0,90,34,14,89,0,4,0,0.23544669,0.25535277,0.27065006,3
458,жыр,929,0,76,144,39,568,6,3,0,0.37941247,0.40869564,0.39043072,1
459,жырау,188,12,1,27,0,223,0,5,2,0.3146118,0.33327082,0.35763568,1
460,мәдениет,970,331,2,446,1,2032,25,8,3,0.40839794,0.48857468,0.43379587,2
461,мәдениетті,93,0,5,15,2,0,0,10,3,0.37119633,0.43907872,0.41277984,2
462,құжат,134,3126,2,221,67,1357,9,5,2,0.33183312,0.37945858,0.31241518,3
463,қолжазба,64,22,2,66,8,111,6,8,3,0.27796835,0.30074415,0.29215962,1
464,қолхат,1,32,5,0,1,43,0,6,2,0.2385558,0.2828562,0.20997916,3
465,қымбат,284,3,141,92,67,299,8,6,2,0.42241922,0.43088907,0.3679185,0
466,бағалы,184,101,8,29,1,198,2,6,2,0.5037081,0.5593454,0.4827654,1
467,баға,681,84,61,230,59,845,9,4,0,0.39072838,0.41971788,0.3771821,0
468,мұра,397,52,37,168,6,678,12,4,0,0.36053875,0.43309537,0.3511586,2
469,мирас,43,0,161,4,0,29,0,5,2,0.22644356,0.31401905,0.2878619,2
470,тиын,85,0,36,45,12,95,6,4,0,0.34747687,0.30524886,0.23731326,1
471,негізгі,1567,620,6,202,20,2347,3,7,2,0.502168,0.5327899,0.45306197,3
472,басты,557,5,0,359,43,1865,0,5,2,0.42608967,0.4687153,0.43249813,2
473,маңыз,501,369,18,124,2,601,7,5,2,0.32314748,0.38895622,0.33010447,3
474,ескерткіш,392,22,10,88,4,311,6,9,3,0.3198957,0.36072287,0.27458686,0
475,естелік,74,5,12,44,5,133,1,7,2,0.3094109,0.38466337,0.3093913,2
476,құрылысшы,62,0,3,4,3,51,8,9,3,0.28744856,0.29284778,0.18607032,2
477,құрылыс,840,413,13,109,28,1465,8,7,2,0.38311866,0.44046155,0.3646204,2
478,құрау,2,0,0,0,0,0,3,5,2,0.37392095,0.33566064,0.2758022,0
479,құрау,2,0,0,0,0,0,0,5,2,0.37392095,0.33566064,0.2758022,0
480,ұшқыш,77,61,8,23,0,46,8,5,2,0.2763393,0.29461738,0.20856822,2
481,жүргізуші,403,14,13,38,14,161,6,9,3,0.234296,0.23151879,0.17683229,0
482,сатушы,70,8,40,16,19,79,6,6,2,0.277941,0.26184478,0.17163406,0
483,әнші,309,0,24,99,18,305,8,4,0,0.34084263,0.35769808,0.33427578,0
484,ән,1550,2,268,354,191,1179,29,2,0,0.19100562,0.052932337,0.0064093247,2
485,орындаушы,18,149,1,66,4,153,1,9,3,0.29540306,0.32610533,0.31952345,1
486,есепші,9,0,0,1,0,4,5,6,2,0.28053772,0.28183696,0.22756438,0
487,даяшы,17,0,0,2,1,20,6,5,2,0.21222098,0.19588469,0.1152055,0
488,тігуші,0,0,0,0,0,5,3,6,2,0.36171147,0.33716327,0.34383914,1
489,сәнгер,0,0,0,1,0,8,18,6,2,0.33059284,0.33080295,0.27108502,1
490,сән,106,1,38,59,2,120,29,3,0,0.32231525,0.3364384,0.26458737,0
491,сазгер,59,1,0,11,0,73,7,6,2,0.27218837,0.29033217,0.2938571,1
492,тіл,1951,491,392,2692,257,14020,146,3,0,0.42776003,0.43615177,0.40400696,0
493,биші,48,0,6,19,5,31,5,4,0,0.30203286,0.27803755,0.24258134,1
494,болашақ,654,87,19,390,58,1230,36,7,2,0.398238,0.4261928,0.33993772,2
495,келешек,142,24,6,84,1,434,1,7,2,0.3539567,0.4005081,0.33986148,3
496,ертеңгі,65,0,25,6,8,135,1,7,2,0.35495114,0.35110468,0.29099095,3
497,таңертеңгі,30,0,15,6,0,0,3,10,3,0.3303567,0.28336164,0.24144654,3
498,ағын,114,36,0,29,9,245,4,4,0,0.31822565,0.3645394,0.37126473,0
499,оқырман,125,9,8,275,1,554,6,7,2,0.2847853,0.30648482,0.30770448,0
500,кездесу,40,1,3,2,0,15,18,7,2,0.26000276,0.27414638,0.22582199,0
501,кездесу,40,1,3,2,0,15,0,7,2,0.26000276,0.27414638,0.22582199,0
502,алты,414,71,207,184,70,671,20,4,0,0.49984017,0.38170752,0.3326028,0
503,жеті,845,3,266,105,51,562,25,4,0,0.54224205,0.4426128,0.3623244,0
504,тіс,328,1,143,39,37,242,2,3,0,0.29698172,0.24848348,0.2670334,0
505,бет,2439,148,630,498,330,1984,13,3,0,0.26248762,0.25538027,0.2363104,0
506,тарау,1271,391,85,54,1,220,4,5,2,0.26986098,0.25610152,0.2246423,0
507,тарау,1271,391,85,54,1,220,0,5,2,0.26986098,0.25610152,0.2246423,0
508,шаш,422,1,233,98,104,513,6,3,0,0.3251931,0.32593295,0.2738192,0
509,ұзын,273,0,154,52,37,362,5,4,0,0.41694856,0.43544492,0.44701484,2
510,қысқа,386,62,54,53,33,373,6,5,2,0.42871672,0.44735184,0.4227875,2
511,шалбар,90,7,43,24,6,42,10,6,2,0.32677191,0.3382827,0.3652375,0
512,көйлек,188,0,159,32,41,156,4,6,2,0.3629386,0.36043277,0.33839756,0
513,бәтеңке,25,0,10,0,1,22,0,7,2,0.3690042,0.36387736,0.3659863,2
514,ескі,294,21,162,77,37,28,8,4,0,0.41297302,0.43941972,0.4246696,3
515,баскиім,38,1,0,0,10,2,0,7,2,0.3447547,0.40703017,0.36541083,0
516,жемпір,13,0,1,1,0,2,0,6,2,0.32068908,0.2967589,0.27834225,0
517,күртеше,16,0,22,1,1,0,4,7,2,0.37599465,0.3786027,0.35389447,1
518,етік,99,0,68,27,14,204,3,4,0,0.3739829,0.35407555,0.33607772,0
519,пәлте,0,0,0,0,0,2,0,5,2,0.38826603,0.4156765,0.40342227,2
520,мойынорағыш,1,0,0,0,3,3,0,11,4,0.4511139,0.5168751,0.533911,1
521,жел,299,0,30,120,67,311,18,3,0,0.38494572,0.34045464,0.34049594,0
522,бірақ,5795,448,1436,970,471,5500,178,5,2,0.4664377,0.4507056,0.39095384,1
523,тұщы,67,350,5,2,2,18,4,4,0,0.3303151,0.36700383,0.33143565,1
524,теңіз,1193,289,213,118,86,343,43,5,2,0.3936925,0.39889383,0.3778521,0
525,тұлға,802,651,12,226,13,1839,8,5,2,0.39173573,0.44055834,0.38910452,1
526,ұстаз,536,285,57,207,10,738,14,5,2,0.35053056,0.36602965,0.30987918,2
527,тамшы,145,2,32,19,15,66,1,5,2,0.35875145,0.34294254,0.2725044,1
528,құдық,103,5,26,17,3,83,4,5,2,0.3131104,0.32522142,0.32857412,1
529,өзен,3500,94,358,86,101,505,54,4,0,0.4062778,0.42635837,0.4305435,0
530,көлшік,5,0,12,1,4,8,5,6,2,0.24024127,0.22205973,0.17033605,1
531,сусын,97,1,37,7,14,63,22,5,2,0.37279674,0.39508703,0.3038432,0
532,шығарма,1498,20,23,343,18,1576,21,7,2,0.3758008,0.4004016,0.3725047,0
533,кезінде,652,633,0,40,0,1971,0,7,2,0.45988515,0.41494557,0.36631015,1
534,жаңалық,339,14,34,116,61,461,12,7,2,0.3733422,0.4053263,0.3756055,0
535,зерттеу,4209,724,62,30,44,2587,14,7,2,0.37574798,0.4178972,0.35342798,2
536,зерттеу,4209,724,62,30,44,2587,0,7,2,0.37574798,0.4178972,0.35342798,2
537,төбе,327,1,230,119,55,431,5,4,0,0.31403285,0.32667744,0.36945736,1
538,бұлжытпай,5,4,6,6,0,29,0,9,3,0.30123118,0.32643074,0.34872723,4
539,ардақ,25,0,0,23,0,33,0,5,2,0.38820392,0.46121195,0.42244428,3
540,қалжың,36,0,15,35,39,198,2,6,2,0.27645773,0.3302315,0.32271942,1
541,анаконда,2,0,0,0,0,0,0,8,3,0.32907158,0.30466783,0.28681925,4
542,қыз,182,4,37,207,942,2735,48,3,0,0.47019953,0.43013498,0.3819351,0
543,дейін,7248,913,156,763,200,2822,0,5,2,0.38976827,0.3485416,0.29066578,0
544,бауырмал,19,0,1,4,1,21,2,8,3,0.33389485,0.3805767,0.29578328,2
545,бауырсақ,126,0,5,12,1,36,4,8,3,0.34860075,0.34527338,0.3159257,0
546,кейіпкер,695,0,21,90,21,353,3,8,3,0.31096268,0.31981578,0.29614154,1
547,дұшпан,100,62,47,28,18,107,6,6,2,0.3388461,0.3849452,0.33493873,1
548,жау,491,10,309,251,220,1094,19,3,0,0.3583507,0.38688803,0.36232808,1
549,жауыз,13,0,27,13,18,58,0,5,2,0.37388477,0.44383705,0.42551926,1
550,қас,78,0,57,24,10,118,0,3,0,0.3530635,0.34766164,0.34650284,1
551,қас,78,0,57,24,10,118,0,3,0,0.3530635,0.34766164,0.34650284,1
552,қаскүнем,3,0,0,0,1,14,0,8,3,0.17151855,0.2115501,0.19019662,4
553,сұм,9,0,9,3,23,46,0,3,0,0.22788839,0.25551993,0.26196116,3
554,ашулы,13,0,25,3,1,37,0,5,2,0.35755107,0.37236866,0.35652336,2
555,түн,272,7,535,172,251,872,30,3,0,0.38765407,0.3535229,0.29900232,1
556,күміс,328,8,128,40,8,218,6,5,2,0.40244794,0.40228656,0.3433156,1
557,кілем,151,0,53,14,106,88,6,5,2,0.33543992,0.34600806,0.32207543,1
558,анар,62,0,1,8,2,196,0,4,0,0.30566224,0.2994005,0.27788624,2
559,дәмді,221,1,43,20,1,39,0,5,2,0.41624793,0.45077506,0.38677406,2
560,сәбіз,123,0,10,7,29,10,0,5,2,0.37428957,0.31705886,0.28583,0
561,қызанақ,81,0,0,6,5,8,1,7,2,0.35283953,0.3408803,0.31146756,0
562,шырын,165,1,32,15,12,35,0,5,2,0.40818262,0.40056166,0.32089987,1
563,тұмсық,453,0,77,27,14,139,0,6,2,0.31501627,0.3491915,0.37531933,2
564,мұрт,46,0,18,25,6,249,0,4,0,0.3335855,0.34842667,0.38174978,1
565,кірпік,48,0,27,22,15,0,0,6,2,0.37826163,0.32690418,0.3365902,1
566,итбалық,32,0,6,0,1,0,3,7,2,0.36083376,0.36850265,0.32620335,2
567,кит,81,0,27,1,1,12,0,3,0,0.23340113,0.21334364,0.16469766,3
568,дельфин,25,0,4,3,1,1,1,7,2,0.3096616,0.31347373,0.23361035,3
569,қорқақ,38,0,101,21,6,64,1,6,2,0.3639577,0.3715651,0.33698228,1
570,жалтақ,5,0,0,1,2,6,0,6,2,0.2555608,0.3237209,0.38819045,3
571,тиін,50,0,59,5,17,5,9,4,0,0.3101388,0.28527027,0.21655867,2
572,бөрі,73,0,20,22,8,74,0,4,0,0.28518283,0.3004141,0.30485368,2
573,қасқыр,288,0,120,124,192,341,13,6,2,0.36216152,0.34591705,0.31058252,1
574,түлкі,464,0,258,44,205,103,5,5,2,0.38845223,0.36490852,0.34987748,1
575,тоқылдақ,20,0,3,12,0,5,0,8,3,0.30680716,0.2999424,0.29812732,3
576,суқойма,4,0,0,0,0,7,0,7,2,0.27018145,0.28127718,0.22928348,3
577,мұхит,422,6,26,26,19,69,6,5,2,0.37002188,0.36508214,0.37217894,1
578,лақ,74,0,13,23,38,34,0,3,0,0.38080546,0.28342342,0.24669187,1
579,лақ,74,0,13,23,38,34,0,3,0,0.38080546,0.28342342,0.24669187,1
580,құлын,117,0,80,50,5,87,1,5,2,0.3562757,0.3525016,0.29931942,1
581,болмыс,119,16,3,63,3,450,0,6,2,0.3140457,0.3720452,0.36673552,3
582,тұрмыс,614,12,31,125,28,503,12,6,2,0.34233657,0.38575494,0.3305672,2
583,үшін,5717,2897,884,1912,1245,9943,151,4,0,0.5227094,0.4709374,0.3726987,1
584,бүгін,1173,34,278,276,18,3571,35,5,2,0.42362443,0.3942002,0.3562083,0
585,қазір,673,4,566,67,695,5042,60,5,2,0.46250084,0.4131902,0.38566294,1
586,салақ,20,0,9,2,0,1,0,5,2,0.43723595,0.46239123,0.43584925,2
587,ұқыпсыз,16,0,0,0,0,1,0,7,2,0.4115425,0.43715766,0.40207896,3
588,салғырт,12,0,2,2,3,18,0,7,2,0.32776815,0.36724418,0.4066168,4
589,ұқыпсыздық,3,0,0,0,0,1,0,10,3,0.38023165,0.4480505,0.42400894,3
590,мүмкін,754,700,448,400,390,2288,56,6,2,0.36041218,0.34436062,0.31083873,1
591,мүмкіндік,842,510,43,398,40,2241,20,9,3,0.43225706,0.47907457,0.42426237,2
592,бәлкім,32,0,19,55,7,0,0,6,2,0.29628757,0.29258296,0.278938,3
593,және,15119,2389,1316,2757,307,17877,233,4,0,0.48533702,0.47327074,0.40565586,0
594,бейне,712,66,96,103,41,825,3,5,2,0.36004335,0.38412398,0.39504522,1
595,бейне,712,66,96,103,41,825,0,5,2,0.36004335,0.38412398,0.39504522,1
596,келбет,102,4,13,30,0,104,0,6,2,0.30331036,0.34902874,0.3393421,1
597,көрініс,532,77,57,137,63,534,7,7,2,0.3716601,0.3761026,0.37445775,2
598,пайда,1588,163,161,555,90,1566,54,5,2,0.45613393,0.46220434,0.41757935,1
599,ұтыс,12,5,9,3,4,171,0,4,0,0.2820795,0.25896063,0.13870436,1
600,ұтымды,45,16,0,1,2,106,1,6,2,0.40541005,0.42738006,0.4339721,1
601,тиімділік,5,216,1,42,2,60,2,9,3,0.35592407,0.39389986,0.3329485,3
602,береке,276,2,21,33,6,109,4,6,2,0.35937676,0.4198057,0.33200696,2
603,тұз,1208,8,20,24,7,85,8,3,0,0.28999123,0.29455242,0.27678138,0
604,бақа,96,0,99,6,6,25,0,4,0,0.30886117,0.27168775,0.24590024,1
605,құрбақа,16,0,7,4,11,7,0,7,2,0.384254,0.3880762,0.35805976,1
606,жүйе,1217,59,2,356,44,3356,11,4,0,0.38769588,0.42019713,0.35683653,2
607,қайта,646,583,513,376,436,2366,0,5,2,0.3803602,0.40985203,0.39382923,0
608,қою,58,36,21,38,66,78,61,3,0,0.37529618,0.39566663,0.35044092,1
609,қою,58,36,21,38,66,78,0,3,0,0.37529618,0.39566663,0.35044092,1
610,бірінші,5251,262,210,404,27,1135,0,7,2,0.44383782,0.4157828,0.33726034,0
611,өз,10976,1043,1224,4934,742,10675,0,2,0,0.19291992,0.036794998,-0.046101023,0
612,ол,14143,5271,1711,7039,4358,30274,749,2,0,0.2268854,0.033967357,-0.04725003,0
613,басқа,3089,1947,741,886,562,5004,64,5,2,0.5344971,0.5239055,0.49221942,0
614,жоқ,2665,58,648,1906,3069,7769,109,3,0,0.45894045,0.45658156,0.42740598,0
